"CODIGO";"CODIGOTIPOCONTA";"CODIGOAREA";"DESCRICAO";"EMAIL";"NUMERO";"ATIVO";"USUARIO";"DHMODIFICACAO"
"733,000000";"4,000000";"18,000000";"DLM";"";"1";"S";"RETOMA";"18/12/2008 15:58"
"734,000000";"4,000000";"18,000000";"CAPH";"caph@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"735,000000";"4,000000";"18,000000";"CAR";"carama@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"736,000000";"4,000000";"18,000000";"CEA";"cea@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"737,000000";"4,000000";"18,000000";"CEDHAL";"cedhal@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"738,000000";"4,000000";"18,000000";"CELP";"cep@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"739,000000";"4,000000";"18,000000";"CITRAT";"citrat@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"740,000000";"4,000000";"18,000000";"CL";"clinguas@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"741,000000";"4,000000";"18,000000";"DA";"fla@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"742,000000";"4,000000";"18,000000";"DCP";"fflchflp@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"743,000000";"5,000000";"null";"CEA";"cea@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"744,000000";"4,000000";"18,000000";"DG";"flg@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:27"
"745,000000";"4,000000";"18,000000";"DH";"flh@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"746,000000";"4,000000";"18,000000";"DL";"fll@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"747,000000";"4,000000";"18,000000";"DLCV";"flc@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"748,000000";"4,000000";"18,000000";"DLO";"flo@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"749,000000";"4,000000";"18,000000";"DS";"fsl@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"750,000000";"4,000000";"18,000000";"DTLLC";"flt@usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"751,000000";"4,000000";"18,000000";"SBD";"bibfflch@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"752,000000";"5,000000";"null";"DLM";"flm@edu.usp.br";"1";"S";"SYSDBA";"21/01/2008 14:28"
"753,000000";"8,000000";"null";"Aluguel Máquinas Samsung";"";"1";"S";"RETOMA";"18/03/2019 16:45"
"754,000000";"8,000000";"null";"Assinatura de Diário Oficial";"";"1";"S";"SYSDBA";"21/01/2008 14:28"
