"CODIGO";"CODIGOCONTA";"CODIGOUSUARIO";"USUARIO";"DHMODIFICACAO"
"3,000000";"734,000000";"13,000000";"RETOMA";"28/01/2008 12:18"
"4,000000";"1495,000000";"13,000000";"RETOMA";"28/01/2008 12:20"
"5,000000";"735,000000";"14,000000";"RETOMA";"28/01/2008 12:20"
"6,000000";"1110,000000";"14,000000";"RETOMA";"28/01/2008 12:21"
"7,000000";"736,000000";"15,000000";"RETOMA";"28/01/2008 12:21"
"8,000000";"743,000000";"15,000000";"RETOMA";"28/01/2008 12:21"
"19,000000";"741,000000";"11,000000";"RETOMA";"28/01/2008 13:16"
"20,000000";"760,000000";"11,000000";"RETOMA";"28/01/2008 13:16"
"27,000000";"746,000000";"5,000000";"RETOMA";"28/01/2008 13:19"
"28,000000";"764,000000";"5,000000";"RETOMA";"28/01/2008 13:19"
"33,000000";"748,000000";"8,000000";"RETOMA";"28/01/2008 13:23"
"34,000000";"766,000000";"8,000000";"RETOMA";"28/01/2008 13:23"
"35,000000";"749,000000";"9,000000";"RETOMA";"28/01/2008 13:23"
"36,000000";"769,000000";"9,000000";"RETOMA";"28/01/2008 13:23"
"37,000000";"750,000000";"10,000000";"RETOMA";"28/01/2008 13:24"
"38,000000";"770,000000";"10,000000";"RETOMA";"28/01/2008 13:24"
"42,000000";"1702,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"44,000000";"1757,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"45,000000";"1758,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"46,000000";"1759,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"47,000000";"1760,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"48,000000";"1763,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"50,000000";"1761,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"52,000000";"1765,000000";"11,000000";"RETOMA";"28/01/2008 14:12"
"53,000000";"1859,000000";"13,000000";"RETOMA";"28/01/2008 14:14"
"136,000000";"1688,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"137,000000";"1727,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"139,000000";"1861,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"142,000000";"1817,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"143,000000";"1818,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"144,000000";"1819,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"145,000000";"1820,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"146,000000";"1821,000000";"5,000000";"RETOMA";"28/01/2008 14:29"
"170,000000";"1737,000000";"8,000000";"RETOMA";"28/01/2008 14:32"
"172,000000";"1834,000000";"8,000000";"RETOMA";"28/01/2008 14:32"
"173,000000";"1835,000000";"8,000000";"RETOMA";"28/01/2008 14:32"
"174,000000";"1691,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"175,000000";"1692,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"177,000000";"1740,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"178,000000";"1836,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"179,000000";"1837,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"180,000000";"1840,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"181,000000";"1839,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"183,000000";"1842,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"185,000000";"1843,000000";"9,000000";"RETOMA";"28/01/2008 14:33"
"187,000000";"1695,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"188,000000";"1741,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"189,000000";"1742,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"190,000000";"1743,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"191,000000";"1745,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"192,000000";"1744,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"193,000000";"1746,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"194,000000";"1844,000000";"10,000000";"RETOMA";"28/01/2008 14:34"
"203,000000";"1877,000000";"11,000000";"RETOMA";"19/02/2008 09:09"
"206,000000";"1879,000000";"10,000000";"RETOMA";"27/02/2008 08:57"
"207,000000";"1880,000000";"10,000000";"RETOMA";"27/02/2008 08:57"
"220,000000";"1901,000000";"5,000000";"RETOMA";"20/03/2008 16:08"
"222,000000";"1904,000000";"8,000000";"RETOMA";"31/03/2008 14:52"
"233,000000";"848,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"234,000000";"849,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"235,000000";"850,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"236,000000";"851,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"237,000000";"867,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"238,000000";"934,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"239,000000";"935,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"240,000000";"868,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"241,000000";"869,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"242,000000";"870,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"243,000000";"852,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"244,000000";"853,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"245,000000";"847,000000";"24,000000";"RETOMA";"01/04/2008 16:40"
"250,000000";"1308,000000";"5,000000";"RETOMA";"02/04/2008 07:42"
"272,000000";"1527,000000";"5,000000";"RETOMA";"02/04/2008 16:17"
"274,000000";"1906,000000";"8,000000";"RETOMA";"03/04/2008 13:51"
"286,000000";"1921,000000";"11,000000";"RETOMA";"06/05/2008 08:50"
"290,000000";"1925,000000";"11,000000";"RETOMA";"13/05/2008 11:16"
"292,000000";"1923,000000";"5,000000";"RETOMA";"13/05/2008 11:17"
"294,000000";"1928,000000";"11,000000";"RETOMA";"26/05/2008 15:21"
"298,000000";"1929,000000";"5,000000";"RETOMA";"27/05/2008 09:25"
"299,000000";"1934,000000";"8,000000";"RETOMA";"29/05/2008 15:59"
"302,000000";"1940,000000";"11,000000";"RETOMA";"09/06/2008 08:42"
"305,000000";"1942,000000";"9,000000";"RETOMA";"09/06/2008 08:44"
"312,000000";"1949,000000";"11,000000";"RETOMA";"17/06/2008 09:12"
"315,000000";"1945,000000";"5,000000";"RETOMA";"17/06/2008 09:14"
"317,000000";"1950,000000";"9,000000";"RETOMA";"17/06/2008 09:15"
