"CODIGO";"DOTACAO";"GRUPO";"DESCRICAOGRUPO";"ITEM";"RECEITA";"DESCRICAOITEM";"USUARIO";"DHMODIFICACAO"
"1,000000";"3939,000000";"080";"Básica - Orçamento";"333999";"";"Outros Serviços e Encargos - Pessoa Jurídica";"NUNO";"18/03/2015 10:17"
"2,000000";"4390,000000";"080";"Básica - Orçamento";"333999";"";"Outros Serviços e Encargos - Pessoa Jurídica";"NUNO";"26/03/2009 08:51"
"3,000000";"8159,000000";"080";"Básica - Orçamento";"333980";"";"Conservação e Mnut. de Bens Móveis e imóveis";"NUNO";"26/03/2009 08:52"
"4,000000";"8167,000000";"080";"Básica - Orçamento";"333041";"";"Material de Escritório, Papéis em Geral e Impressos";"NUNO";"26/03/2009 08:57"
"5,000000";"8175,000000";"080";"Básica - Orçamento";"333050";"";"Peças de Reposições e Acessórios";"NUNO";"23/04/2012 13:41"
"6,000000";"8183,000000";"080";"Básica - Orçamento";"333060";"";"Suprimentos de Informática";"NUNO";"26/03/2009 08:58"
"7,000000";"8191,000000";"080";"Básica - Orçamento";"333061";"";"Peças,Acessórios e Componentes de Informática";"NUNO";"26/03/2009 08:58"
"8,000000";"8205,000000";"080";"Básica - Orçamento";"333090";"";"Outros Materiais de Consumo";"NUNO";"19/08/2011 15:02"
"9,000000";"8213,000000";"080";"Básica - Orçamento";"333611";"";"Remuneração de Serviços Pessoais";"NUNO";"13/11/2012 13:56"
"10,000000";"8370,000000";"080";"Básica - Orçamento";"333342";"";"Passagens Aéreas";"NUNO";"26/03/2009 09:00"
"11,000000";"8396,000000";"080";"Básica - Orçamento";"333345";"";"Outras Despesas com Transportes e Locomoção";"NUNO";"26/03/2009 09:00"
"12,000000";"8400,000000";"080";"Básica - Orçamento";"333612";"";"Encargos Sociais e obrig.Fiscais - Pessoa Física";"NUNO";"26/03/2009 09:00"
"13,000000";"8442,000000";"080";"Básica - Orçamento";"331401";"";"Diárias Pessoal Civil";"NUNO";"26/03/2009 09:01"
"14,000000";"8515,000000";"080";"Básica - Orçamento";"333010";"";"Gêneros Alimentícios";"NUNO";"26/03/2009 09:01"
"15,000000";"8523,000000";"080";"Básica - Orçamento";"445234";"";"Outros Equipamentos e Material Permanente";"NUNO";"26/03/2009 09:01"
"16,000000";"21945,000000";"080";"Básica - Orçamento";"333943";"";"Jornais, Revistas e Periódicos";"NUNO";"26/03/2009 09:02"
"17,000000";"25614,000000";"080";"Básica - Orçamento";"445220";"";"Equipamentos para Informática";"NUNO";"26/03/2009 09:02"
"18,000000";"26459,000000";"080";"Básica - Orçamento";"445233";"";"Material Educativo Cultural e Recreativo";"NUNO";"26/03/2009 09:07"
"19,000000";"26840,000000";"080";"Básica - Orçamento";"333343";"";"Locação de Veículos, Aeronaves e Outros";"NUNO";"26/03/2009 09:07"
"20,000000";"34443,000000";"080";"Básica - Orçamento";"333945";"";"Seguros";"NUNO";"26/03/2009 09:08"
"21,000000";"35903,000000";"080";"Básica - Orçamento";"333992";"";"Despesas Miudas e de Pronto Pagamento";"NUNO";"26/03/2009 09:09"
"22,000000";"35911,000000";"080";"Básica - Orçamento";"333920";"";"Despesas de Exercicios Anteriores";"NUNO";"26/03/2009 09:09"
"23,000000";"37337,000000";"080";"Básica - Orçamento";"333999";"";"Outros Serviços e Encargos - Pessoa Jurídica";"NUNO";"26/03/2009 09:10"
"24,000000";"43507,000000";"080";"Básica - Orçamento";"333983";"";"Serviços Gráficos";"NUNO";"26/03/2009 09:11"
"25,000000";"43515,000000";"080";"Básica - Orçamento";"333616";"";"Ajuda de Custo a Colaboradores";"NUNO";"26/03/2009 09:11"
"26,000000";"43523,000000";"080";"Básica - Orçamento";"445232";"";"Mobiliário em Geral";"NUNO";"26/03/2009 09:11"
"27,000000";"53219,000000";"080";"Básica - Orçamento";"445231";"";"Máquinas e Motores";"NUNO";"26/03/2009 09:12"
"28,000000";"54479,000000";"080";"Básica - Orçamento";"333052";"";"Material de Construção";"NUNO";"26/03/2009 09:13"
"29,000000";"55130,000000";"080";"Básica - Orçamento";"333920";"";"Instal. e Manut. de Equip. de Inf.";"NUNO";"26/03/2009 09:13"
"30,000000";"59578,000000";"080";"Básica - Orçamento";"333912";"";"Serviços, Programas e Aplicativos de Inf.";"NUNO";"26/03/2009 09:13"
"31,000000";"62307,000000";"080";"Básica - Orçamento";"333024";"";"Outros Combustíveis e Lubrificantes";"NUNO";"26/03/2009 09:14"
"32,000000";"63281,000000";"080";"Básica - Orçamento";"333051";"";"Ferramentas Avulsas Não Acionadas p/Força Motora";"NUNO";"16/07/2009 10:14"
"33,000000";"75131,000000";"080";"Básica - Orçamento";"333919";"";"Locação de Equip. Diversos";"NUNO";"26/03/2009 09:15"
"34,000000";"82174,000000";"080";"Básica - Orçamento";"333614";"";"Monitores";"NUNO";"26/03/2009 09:15"
"35,000000";"82565,000000";"080";"Básica - Orçamento";"333925";"";"Correios e Telégrafos";"NUNO";"26/03/2009 09:16"
"36,000000";"88334,000000";"080";"Básica - Orçamento";"333031";"";"Material médico-odont. lab. e veter.";"NUNO";"26/03/2009 09:16"
"37,000000";"93079,000000";"080";"Básica - Orçamento";"333501";"";"Serv. de Consultoria, Aces. e Aud.";"NUNO";"26/03/2009 09:17"
"38,000000";"98607,000000";"080";"Básica - Orçamento";"333340";"";"Regime de Quilometragem";"NUNO";"26/03/2009 09:17"
"39,000000";"99433,000000";"080";"Básica - Orçamento";"333981";"";"Reformas de Bens Imóveis";"NUNO";"26/03/2009 09:18"
"40,000000";"468,000000";"081";"Manutenção de Edifícios - Orçamento";"333999";"";"Outros Serviços e Encargos - P.Juridica";"NUNO";"22/03/2013 09:01"
"41,000000";"8434,000000";"081";"Manutenção de Edifícios - Orçamento";"333050";"";"Peças de Reposição e Acessórios";"NUNO";"26/03/2009 09:28"
"42,000000";"8566,000000";"081";"Manutenção de Edifícios - Orçamento";"333090";"";"Outros Materiais de Consumo";"NUNO";"26/03/2009 09:28"
"43,000000";"8574,000000";"081";"Manutenção de Edifícios - Orçamento";"333052";"";"Material de Construção";"NUNO";"26/03/2009 09:29"
"44,000000";"8582,000000";"081";"Manutenção de Edifícios - Orçamento";"333981";"";"Reforma de Bens Imóveis";"NUNO";"26/03/2009 09:29"
"45,000000";"27110,000000";"081";"Manutenção de Edifícios - Orçamento";"333980";"";"Conservação e Manut. de Bens Móveis e Imóveis";"NUNO";"26/03/2009 09:30"
"46,000000";"56102,000000";"081";"Manutenção de Edifícios - Orçamento";"333496";"";"Serviço de Limpeza";"NUNO";"26/03/2009 09:30"
"47,000000";"77746,000000";"081";"Manutenção de Edifícios - Orçamento";"333992";"";"Despesas Miudas e de Prono Pagamento";"NUNO";"26/03/2009 09:31"
"48,000000";"86927,000000";"081";"Manutenção de Edifícios - Orçamento";"333936";"";"Dedetização, desinset. e Desratiz.";"NUNO";"26/03/2009 09:31"
"49,000000";"101527,000000";"081";"Manutenção de Edifícios - Orçamento";"445110";"";"Estudos e Projetos";"NUNO";"26/03/2009 09:32"
"50,000000";"106758,000000";"081";"Manutenção de Edifícios - Orçamento";"333799";"";"Outros Serviços";"NUNO";"26/03/2009 09:32"
"51,000000";"450,000000";"082";"Equipamentos de Segurança - Orçamento";"333999";"";"Outros Serviços e Encargos - Pessoa Juridica";"NUNO";"22/03/2013 09:05"
