"CODIGO";"CODIGOMOVIMENTO";"CODIGOAREA";"SALDOCONSUMO";"USUARIO";"DHMODIFICACAO"
"1,000000";"1,000000";"3,000000";"37979";"RETOMA";"17/03/2008 11:04"
"2,000000";"1,000000";"1,000000";"54629";"RETOMA";"17/03/2008 11:04"
"3,000000";"1,000000";"4,000000";"10271";"RETOMA";"17/03/2008 11:03"
"4,000000";"1,000000";"2,000000";"16365";"RETOMA";"17/03/2008 11:03"
"5,000000";"1,000000";"11,000000";"37800";"RETOMA";"17/03/2008 11:02"
"6,000000";"1,000000";"12,000000";"7005";"RETOMA";"17/03/2008 11:04"
"7,000000";"1,000000";"13,000000";"113700";"RETOMA";"17/03/2008 11:02"
"8,000000";"2,000000";"11,000000";"65077,99";"RETOMA";"09/03/2009 10:55"
"9,000000";"2,000000";"13,000000";"153154,55";"RETOMA";"09/03/2009 10:55"
"10,000000";"2,000000";"4,000000";"19528,78";"RETOMA";"09/03/2009 10:56"
"11,000000";"2,000000";"2,000000";"31695,28";"RETOMA";"09/03/2009 10:56"
"12,000000";"2,000000";"3,000000";"49054";"RETOMA";"09/03/2009 10:34"
"13,000000";"2,000000";"1,000000";"70559";"RETOMA";"09/03/2009 10:35"
"14,000000";"2,000000";"12,000000";"11418,45";"RETOMA";"09/03/2009 10:56"
"15,000000";"3,000000";"4,000000";"13266";"RETOMA";"08/03/2010 09:39"
"16,000000";"3,000000";"2,000000";"21137";"RETOMA";"08/03/2010 09:40"
"17,000000";"3,000000";"3,000000";"49054";"RETOMA";"08/03/2010 09:40"
"18,000000";"3,000000";"1,000000";"70559";"RETOMA";"08/03/2010 09:40"
"19,000000";"3,000000";"12,000000";"9048";"RETOMA";"08/03/2010 09:41"
"20,000000";"3,000000";"11,000000";"48823";"RETOMA";"08/03/2010 09:42"
"21,000000";"3,000000";"13,000000";"146856";"RETOMA";"08/03/2010 09:42"
"22,000000";"4,000000";"11,000000";"72746";"RETOMA";"10/03/2011 13:42"
"23,000000";"4,000000";"13,000000";"218815";"RETOMA";"10/03/2011 13:43"
"24,000000";"4,000000";"4,000000";"19766";"RETOMA";"10/03/2011 13:43"
"25,000000";"4,000000";"2,000000";"31494";"RETOMA";"10/03/2011 13:43"
"26,000000";"4,000000";"3,000000";"73090";"RETOMA";"10/03/2011 13:44"
"27,000000";"4,000000";"1,000000";"105132";"RETOMA";"10/03/2011 13:44"
"28,000000";"4,000000";"12,000000";"13481";"RETOMA";"10/03/2011 13:45"
"32,000000";"5,000000";"3,000000";"80739";"NUNO";"02/03/2012 11:10"
"33,000000";"5,000000";"11,000000";"80359";"NUNO";"02/03/2012 11:11"
"34,000000";"5,000000";"13,000000";"241716";"NUNO";"02/03/2012 11:14"
"35,000000";"5,000000";"4,000000";"21834";"NUNO";"02/03/2012 11:14"
"36,000000";"5,000000";"2,000000";"34790";"NUNO";"02/03/2012 11:14"
"37,000000";"5,000000";"1,000000";"116135";"NUNO";"02/03/2012 11:15"
"38,000000";"5,000000";"12,000000";"14891";"NUNO";"02/03/2012 11:15"
"39,000000";"6,000000";"11,000000";"86763";"NUNO";"15/03/2013 14:28"
"40,000000";"6,000000";"13,000000";"260980";"NUNO";"15/03/2013 14:29"
"41,000000";"6,000000";"4,000000";"21834";"NUNO";"15/03/2013 14:29"
"42,000000";"6,000000";"2,000000";"34790";"NUNO";"15/03/2013 14:29"
"43,000000";"6,000000";"3,000000";"80739";"NUNO";"15/03/2013 14:29"
"44,000000";"6,000000";"1,000000";"116135";"NUNO";"15/03/2013 14:29"
"45,000000";"6,000000";"12,000000";"14891";"NUNO";"15/03/2013 14:30"
"46,000000";"12,000000";"11,000000";"56395";"NUNO";"14/03/2014 09:44"
