"CODIGO";"DESCRICAO";"FICHAORCAMENTARIA";"BALANCETE";"USUARIO";"DHMODIFICACAO"
"4,000000";"ORÇAMENTO";"S";"S";"S3011130";"08/06/2006 10:06"
"5,000000";"RENDA INDUSTRIAL";"S";"S";"S3011130";"08/06/2006 10:06"
"7,000000";"AREAS/SEÇÕES";"S";"";"RETOMA";"14/02/2008 06:50"
"8,000000";"PREVISÃO DA ADMINISTRAÇÃO";"S";"N";"SYSDBA";"03/01/2008 16:32"
"10,000000";"GASTO EFETIVO";"S";"";"NUNO";"09/02/2018 10:41"
"11,000000";"PROJETOS ESPECIAIS";"S";"N";"SYSDBA";"03/01/2008 16:32"
"20,000000";"ADMINISTRAÇÃO";"N";"N";"SYSDBA";"03/01/2008 16:31"
"21,000000";"CURSO DE GRADUAÇÃO";"N";"N";"SYSDBA";"03/01/2008 16:31"
"24,000000";"FICHA ORÇAMENTÁRIA";"N";"N";"SYSDBA";"03/01/2008 16:31"
"25,000000";"RESERVA";"S";"N";"SYSDBA";"03/01/2008 16:31"
"26,000000";"AREAS/ALMOXARIFADO";"N";"N";"SYSDBA";"03/01/2008 16:31"
"27,000000";"MANUTENÇÃO PREDIAL - 081";"N";"N";"SYSDBA";"03/01/2008 16:31"
"28,000000";"SEGURANÇA E PROTEÇÃO - 082";"N";"N";"SYSDBA";"03/01/2008 16:31"
"29,000000";"INFORMÁTICA - 083";"N";"N";"SYSDBA";"03/01/2008 16:31"
"30,000000";"TREINAMENTO E CURSOS - 084";"N";"N";"SYSDBA";"03/01/2008 16:31"
"31,000000";"SERVIÇO DIAGRAMAÇÃO E DIGITALIZAÇÃO - ADM";"N";"N";"SYSDBA";"03/01/2008 16:31"
"32,000000";"DESPESAS COM VERBA RI PAGA NA BASICA";"N";"N";"SYSDBA";"03/01/2008 16:31"
"33,000000";"DESPESAS COM VERBA DA BASICA PAGA NA RI";"N";"N";"SYSDBA";"03/01/2008 16:31"
"34,000000";"RENDA INDUSTRIAL - ADMINISTRAÇÃO";"S";"N";"SYSDBA";"03/01/2008 16:31"
"35,000000";"DOAÇÃO";"S";"N";"SYSDBA";"03/01/2008 16:32"
"36,000000";"PROAP";"S";"N";"SYSDBA";"03/01/2008 16:32"
"37,000000";"MONITORES BOLSISTAS";"";"";"RETOMA";"28/01/2008 06:49"
"38,000000";"FUNDO DE PUBLICAÇÃO";"S";"";"RETOMA";"28/01/2008 08:53"
"40,000000";"CONVÊNIO PROAP";"";"";"RETOMA";"15/09/2010 12:05"
"41,000000";"CONVÊNIO PROEX";"";"";"RETOMA";"15/09/2010 12:05"
"42,000000";"PASSAGEM AÉREA";"";"";"RETOMA";"19/09/2011 10:54"
"43,000000";"REEMBOLSO PASSAGEM AÉREA ECCOS";"";"";"RETOMA";"12/12/2012 10:57"
"44,000000";"PAGAMENTO PASSAGEM AÉREA VERBA CONVÊNIO";"";"";"RETOMA";"19/12/2012 15:51"
"45,000000";"PROGRAMAS - CONVÊNIOS - GRUPO 801";"S";"";"RETOMA";"27/03/2018 16:03"
"46,000000";"PREVISÃO - CONVÊNIOS - GRUPO 179";"S";"";"NUNO";"29/09/2015 09:41"
"47,000000";"PROGRAMAS CPG";"S";"";"NUNO";"05/10/2015 10:38"
"48,000000";"DESENVTO. PROGRS. INTERNACIONALIZAÇÃO - CPG - R.I.";"S";"";"NUNO";"12/03/2018 10:54"
"49,000000";"PROGRAMAS APOIO PUBLICAÇÕES - CPG - R.I.";"S";"";"NUNO";"12/03/2018 14:52"
"50,000000";"PROGRAMAS - CONVÊNIOS - CAPES - 40074";"S";"";"NUNO";"25/08/2017 15:27"
